BO Iteration,Selected SMILES,f1,f2,R2 Indicator
135,CCC(CO)NCc1cccnc1N1CCN(C(=O)C(Cc2ccc(Cl)cc2Cl)NC(=O)CCN)CC1,0.1437908496732026,1.0,0.2354
136,CCOC(=O)CCNC(=O)C1CC(NC(=O)c2cc(CC)nn2C)CN1C(=O)c1coc2ccccc12,0.19863013698630136,0.1353352832366127,0.2354
137,CCC(=O)c1ccc(OCC(=O)N2CCc3cc(OC)c(OC)cc3C2)cc1,0.12781954887218044,1.0,0.2354
138,COc1cccc(C#Cc2ccc3c(c2)OC(CN(C)C)C(C)CN(C(C)CO)S3(=O)=O)c1,0.10204081632653061,1.0,0.2354
139,COc1cc(C)c(CNCC(NC(=O)c2cc(C)on2)c2ccc(F)cc2)cc1C,0.0763888888888889,0.1353352832366127,0.2354
140,CC(O)CCc1ccc2c(c1)CCn1c-2cc(OCC2COCCO2)nc1=O,0.1259259259259259,1.0,0.2354
141,CC(=O)N1CCCC(COc2ccc(-c3nc4cc(C(N)=O)ccc4[nH]3)cc2)C1,0.12408759124087591,0.1353352832366127,0.2354
142,COc1ccc2c3c1OC1C(O)C(C=CCCCCc4ccccc4)(CO)CC4C(C2)N(C)CCC341,0.10062893081761007,1.0,0.2354
143,CCS(=O)(=O)Nc1cccc2c1CCC1C2c2cc(O)c(Cl)cc2CCN1C,0.12878787878787878,1.0,0.2354
144,CCCc1cc(=O)oc2c(C)c(OCC(=O)N3CCC(C(=O)O)CC3)ccc12,0.21138211382113822,1.0,0.2318
145,O=C(O)C1CCC(OCC2CC(F)CN2C(=O)Cc2ccc(NC(=O)N3CCc4ccccc43)c(Cl)c2)CC1,0.18181818181818182,1.0,0.2318
146,CCOc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1ncc(C)cc1F)CC2,0.1390728476821192,0.1353352832366127,0.2318
147,CCC(=O)N1CCN(c2ccc(Cl)cc2NC(=O)c2ccc(Br)o2)CC1,0.11627906976744186,1.0,0.2318
148,CCCNC(=O)C1(C)CCN(C(=O)c2ccc3c(c2)CCO3)C1,0.1623931623931624,0.1353352832366127,0.2318
149,CC(C)Cn1cc2c3c(cccc31)C1CC(C(=O)OC(C)C(C)O)CN(C)C1C2,0.16153846153846155,1.0,0.2318
150,CC(=O)OC1(C)CCC(C)=CCCC2(C)C(CCC2C(C)CCCC(C)C)c2ccc(cc2C(C)O)C1,0.16216216216216217,0.1353352832366127,0.2318
151,COc1cccc(CNC(=O)c2cc(S(=O)(=O)N3CCCC3)cn2C)c1,0.13385826771653545,1.0,0.2318
152,CC(=O)N1CCC(C(=O)N2CCC(C(=O)N(C)Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(c3ccccc3C)C2)CC1,0.14634146341463414,1.0,0.2318
153,CCN1CCN(C(=O)NC(C(=O)NC2CN3CC(C#N)=C(C(=O)O)N3C2=O)c2ccccc2)C(=O)C1=O,0.1456953642384106,0.1353352832366127,0.2318
154,CC(C)N1CCC(Oc2ccc(OCc3ccccc3Cl)c(CN(C)C)c2)C1,0.10294117647058823,1.0,0.2318
155,O=C(OCCC1CCn2cc([N+](=O)[O-])nc2O1)OCc1cccc(OC(F)(F)F)c1,0.09929078014184398,1.0,0.2318
156,CCCOc1cc(CC2CS(=O)(=O)CC(NCc3cccc(C(C)(C)C)c3)C2O)ccc1N,0.125,1.0,0.2318
157,CC(C)(C)CCNc1cc(NC2CCN(Cc3cccc(F)c3O)C2)ncn1,0.10294117647058823,1.0,0.2318
158,CCC(CO)Oc1cc(NCc2cccc(F)c2)c2ncn(C(C)C)c2c1,0.10526315789473684,0.1353352832366127,0.2318
159,CC(=O)Nc1c(Cl)cc(CNC(N)=NC(=O)C2C3CCC(C3)N2c2ccccc2)cc1Cl,0.15,1.0,0.2318
160,COc1cc(CN2CCCC(C(=O)c3ccc(SC)cc3)C2)cc(Cl)c1O,0.12213740458015267,1.0,0.2318
161,COC(=O)C1=CCCN(CC2CCCCN2C(=O)Cc2ccc(Cl)c(Cl)c2)C1,0.16279069767441862,0.1353352832366127,0.2318
162,NC1CN(c2cccnc2)CCC1c1cc(F)c(F)cc1F,0.05555555555555555,1.0,0.2318
163,COc1cc(C=NOCC2CC2C2CC2(C)CCC(O)c2cccs2)cc(OC)c1OC,0.1095890410958904,1.0,0.2318
164,O=C(CN1CCc2sccc2C1)NN=Cc1ccc(O)c(O)c1,0.07874015748031496,1.0,0.2318
165,CC(C)(C)Nc1cc(C(=O)NC(Cc2ccccc2)C(O)CNC2CCOCC2)cc(N2CCCCS2(=O)=O)c1,0.15723270440251572,1.0,0.2318
166,CC(C)(CC1Cc2ccccc2C1)NCC(O)COc1cccc(C2CC3CC2C2C(C(=O)O)C32)c1,0.152317880794702,1.0,0.2318
167,Cc1cc(=O)n(C(=O)C2CCc3ccccc3C2)o1,0.09649122807017543,1.0,0.2318
