BO Iteration,Selected SMILES by EI,f1,f2,R2 Indicator
150,CN(C)C(C(=O)NCC1(Cn2cccn2)CC1)c1ccc(F)cc1,0.125,1.0,0.1532
151,CC(C)N(CC(=O)Nc1cccc(C(=O)N(C)C)c1)C1CC1,0.1724137931034483,0.1353352832366127,0.1532
152,CC1(C)CC(NC(=O)Nc2ccccc2)c2cc(F)ccc2O1,0.17355371900826447,1.0,0.1532
153,Cc1ccc(NC(=O)C2C(=O)N(CCO)C3(C)CC2c2ccccc2O3)cc1,0.20930232558139536,0.1353352832366127,0.1532
154,O=C(Nc1cc(Cl)cc(Cl)c1)C(NCC1CCCO1)c1ccccc1,0.1640625,1.0,0.1532
155,CCCC1=[N+](CC(=O)c2ccccc2)CCn2cccc21,0.1794871794871795,1.0,0.1532
156,O=C(CN1CCOCC1)n1c2ccccc2c2ccccc21,0.14516129032258066,0.1353352832366127,0.1532
157,CC(NC(=O)N(Cc1ccccc1)Cc1ccc2c(c1)OCO2)(C(F)(F)F)C(F)(F)F,0.14084507042253522,1.0,0.1532
158,O=C(COC(=O)C1CCCN1C(=O)c1cccs1)NCCc1ccccc1,0.183206106870229,1.0,0.1532
159,CC(O)(COc1ccccc1)C(=O)N1CCc2c(C#N)cccc21,0.16,1.0,0.1532
160,C=CC(=O)NCCC1CC(c2ccccc2)Cc2ccc(OC)cc21,0.192,1.0,0.1532
161,COCCCNC=C1C(=O)CC(c2ccccc2)CC1=O,0.21238938053097345,0.1353352832366127,0.1532
162,COc1cccc(NS(=O)(=O)c2ccc3c(c2)CCCN3C(C)=O)c1,0.15748031496062992,1.0,0.1532
163,COc1ccc(C=CC(=O)NCCC2CCN(Cc3ccccc3)CC2)c(OC)c1,0.18840579710144928,1.0,0.1532
164,O=C(NC1CCc2ccccc21)c1nc(-c2cccs2)nc(O)c1O,0.1732283464566929,0.1353352832366127,0.1532
165,COc1cccc(CNC(=O)CCSCc2ccccc2F)c1,0.20168067226890757,0.1353352832366127,0.1532
166,Cc1ccc(S(=O)(=O)N2CCCC2CNC(=O)C(=O)NCc2ccccn2)cc1,0.16911764705882354,1.0,0.1532
167,N#Cc1cccn1CCC(NS(=O)(=O)c1cccc2[nH]ccc12)C(=O)N1CCC(C(F)(F)F)CC1,0.12903225806451613,0.1353352832366127,0.1532
168,Nc1ncc(-c2ccccc2)n1CC1CCCO1,0.14035087719298245,1.0,0.1532
169,CCSC1=NCCN1S(=O)(=O)c1ccc2ccccc2c1,0.16101694915254236,1.0,0.1532
170,CC(C)N(C)S(=O)(=O)c1ccc2c(c1)CCN(C(=O)c1cnccn1)C2,0.12878787878787878,1.0,0.1532
171,CC(=N)C(C#N)=C(O)COC(=O)C1Cc2ccccc2CN1S(C)(=O)=O,0.18548387096774194,0.1353352832366127,0.1532
172,c1ccc(-c2nc(CNCC3CCCN3c3cccnn3)co2)cc1,0.1259259259259259,0.1353352832366127,0.1532
173,Cc1ccc(Nc2ccc(C(=O)N3CCCC3)cn2)c(C)c1,0.13821138211382114,1.0,0.1532
174,CC(C)CNC(=O)c1ccc(Br)c(S(=O)(=O)N(C)Cc2ccccc2)c1,0.184,0.1353352832366127,0.1532
175,CCC1CCC(C(=O)Nc2ccc(S(=O)(=O)Nc3nccs3)cc2)CC1,0.12686567164179105,1.0,0.1532
176,O=C(Nc1ncc(F)s1)C(c1ccc(Cl)cc1)C1CC1,0.13675213675213677,1.0,0.1532
177,NC(=O)C1CCN(CCc2ccc(NCc3ccsc3)cc2)CC1,0.13076923076923078,1.0,0.1532
178,COc1ccc(-c2ccncc2)cc1S(=O)(=O)NC1CCCC1,0.12598425196850394,1.0,0.1532
179,CC1=NCCN1CCNC(=O)Nc1ccc(F)cc1,0.1391304347826087,0.1353352832366127,0.1532
180,NC1CN(c2ccccc2)C(=O)CC1c1ccccc1Cl,0.21238938053097345,1.0,0.1532
181,COc1ccc(N2CC(NC(=O)Cc3cccs3)CC2=O)cc1,0.16260162601626016,1.0,0.1532
